# detectorID  stationID  componentID  detectorName  myPrimeIs  geantName  spacing  cellWidth  overlap   numElements  lowElementID  angleFromVert  xPrimeOffset  planeWidth  planeHeight  x0         y0        z0       theta_x       theta_y      theta_z        resolution 
         46          4            0  H4T                   0  H4xT         19.33    19.6475  0.317499           16             1              0             0     304.518       182.88   -0.28448   90.7872  2234.91   -0.00673174   0.00240506    -0.00010821           0 


	 53          4            5  P1H1b                 0  P1H           5.08     4.7625   -0.3175            8            65         1.5708         -1.27       368.3        43.18   -1.00198   162.756  2102.93    0.00246091   0.00663225    0.000645772           0 
         54          4            5  P1H1f                53  P1H           5.08     4.7625   -0.3175            8            65         1.5708          1.27       368.3        43.18   -1.00198   162.756  2098.53    0.00246091   0.00663225    0.000645772           0 
         55          4            5  P1H2b                 0  P1H           5.08     4.7625   -0.3175            8            57         1.5708         -1.27       368.3        43.18  -0.975733   122.116  2102.83    0.00246091   0.00663225    0.000645772           0 
         56          4            5  P1H2f                55  P1H           5.08     4.7625   -0.3175            8            57         1.5708          1.27       368.3        43.18  -0.975733   122.116  2098.43    0.00246091   0.00663225    0.000645772           0 
         57          4            5  P1H3b                 0  P1H           5.08     4.7625   -0.3175            8            49         1.5708         -1.27       368.3        43.18  -0.949488    81.476  2102.73    0.00246091   0.00663225    0.000645772           0 
         58          4            5  P1H3f                57  P1H           5.08     4.7625   -0.3175            8            49         1.5708          1.27       368.3        43.18  -0.949488    81.476  2098.33    0.00246091   0.00663225    0.000645772           0 
         59          4            5  P1H4b                 0  P1H           5.08     4.7625   -0.3175            8            41         1.5708         -1.27       368.3        43.18  -0.923244    40.836  2102.63    0.00246091   0.00663225    0.000645772           0 
         60          4            5  P1H4f                59  P1H           5.08     4.7625   -0.3175            8            41         1.5708          1.27       368.3        43.18  -0.923244    40.836  2098.23    0.00246091   0.00663225    0.000645772           0 
         61          4            5  P1H5b                 0  P1H           5.08     4.7625   -0.3175            8            33         1.5708         -1.27       368.3        43.18     -0.897     0.196  2102.53    0.00246091   0.00663225    0.000645772           0 
         62          4            5  P1H5f                61  P1H           5.08     4.7625   -0.3175            8            33         1.5708          1.27       368.3        43.18     -0.897     0.196  2098.13    0.00246091   0.00663225    0.000645772           0 
         63          4            5  P1H6b                 0  P1H           5.08     4.7625   -0.3175            8            25         1.5708         -1.27       368.3        43.18  -0.870756   -40.444  2102.43    0.00246091   0.00663225    0.000645772           0 
         64          4            5  P1H6f                63  P1H           5.08     4.7625   -0.3175            8            25         1.5708          1.27       368.3        43.18  -0.870756   -40.444  2098.03    0.00246091   0.00663225    0.000645772           0 
         65          4            5  P1H7b                 0  P1H           5.08     4.7625   -0.3175            8            17         1.5708         -1.27       368.3        43.18  -0.844512   -81.084  2102.33    0.00246091   0.00663225    0.000645772           0 
         66          4            5  P1H7f                65  P1H           5.08     4.7625   -0.3175            8            17         1.5708          1.27       368.3        43.18  -0.844512   -81.084  2097.93    0.00246091   0.00663225    0.000645772           0 
         67          4            5  P1H8b                 0  P1H           5.08     4.7625   -0.3175            8             9         1.5708         -1.27       368.3        43.18  -0.818268  -121.724  2102.23    0.00246091   0.00663225    0.000645772           0 
         68          4            5  P1H8f                67  P1H           5.08     4.7625   -0.3175            8             9         1.5708          1.27       368.3        43.18  -0.818268  -121.724  2097.83    0.00246091   0.00663225    0.000645772           0 
         69          4            5  P1H9b                 0  P1H           5.08     4.7625   -0.3175            8             1         1.5708         -1.27       368.3        43.18  -0.792023  -162.364  2102.13    0.00246091   0.00663225    0.000645772           0 
         70          4            5  P1H9f                69  P1H           5.08     4.7625   -0.3175            8             1         1.5708          1.27       368.3        43.18  -0.792023  -162.364  2097.73    0.00246091   0.00663225    0.000645772           0 
         71          4            5  P1V1b                 0  P1V           5.08     4.7625   -0.3175            8            65              0         -1.27       43.18        368.3    160.414  -1.06833  2178.79    0.00387463  -0.00101229    0.000785398           0 
         72          4            5  P1V1f                71  P1V           5.08     4.7625   -0.3175            8            65              0          1.27       43.18        368.3    160.414  -1.06833  2174.39    0.00387463  -0.00101229    0.000785398           0 
         73          4            5  P1V2b                 0  P1V           5.08     4.7625   -0.3175            8            57              0         -1.27       43.18        368.3    119.774  -1.10024  2178.75    0.00387463  -0.00101229    0.000785398           0 
         74          4            5  P1V2f                73  P1V           5.08     4.7625   -0.3175            8            57              0          1.27       43.18        368.3    119.774  -1.10024  2174.35    0.00387463  -0.00101229    0.000785398           0 
         75          4            5  P1V3b                 0  P1V           5.08     4.7625   -0.3175            8            49              0         -1.27       43.18        368.3     79.134  -1.13216  2178.71    0.00387463  -0.00101229    0.000785398           0 
         76          4            5  P1V3f                75  P1V           5.08     4.7625   -0.3175            8            49              0          1.27       43.18        368.3     79.134  -1.13216  2174.31    0.00387463  -0.00101229    0.000785398           0 
         77          4            5  P1V4b                 0  P1V           5.08     4.7625   -0.3175            8            41              0         -1.27       43.18        368.3     38.494  -1.16408  2178.67    0.00387463  -0.00101229    0.000785398           0 
         78          4            5  P1V4f                77  P1V           5.08     4.7625   -0.3175            8            41              0          1.27       43.18        368.3     38.494  -1.16408  2174.27    0.00387463  -0.00101229    0.000785398           0 
         79          4            5  P1V5b                 0  P1V           5.08     4.7625   -0.3175            8            33              0         -1.27       43.18        368.3     -2.146    -1.196  2178.63    0.00387463  -0.00101229    0.000785398           0 
         80          4            5  P1V5f                79  P1V           5.08     4.7625   -0.3175            8            33              0          1.27       43.18        368.3     -2.146    -1.196  2174.23    0.00387463  -0.00101229    0.000785398           0 
         81          4            5  P1V6b                 0  P1V           5.08     4.7625   -0.3175            8            25              0         -1.27       43.18        368.3    -42.786  -1.22792  2178.59    0.00387463  -0.00101229    0.000785398           0 
         82          4            5  P1V6f                81  P1V           5.08     4.7625   -0.3175            8            25              0          1.27       43.18        368.3    -42.786  -1.22792  2174.19    0.00387463  -0.00101229    0.000785398           0 
         83          4            5  P1V7b                 0  P1V           5.08     4.7625   -0.3175            8            17              0         -1.27       43.18        368.3    -83.426  -1.25984  2178.55    0.00387463  -0.00101229    0.000785398           0 
         84          4            5  P1V7f                83  P1V           5.08     4.7625   -0.3175            8            17              0          1.27       43.18        368.3    -83.426  -1.25984  2174.15    0.00387463  -0.00101229    0.000785398           0 
         85          4            5  P1V8b                 0  P1V           5.08     4.7625   -0.3175            8             9              0         -1.27       43.18        368.3   -124.066  -1.29176  2178.51    0.00387463  -0.00101229    0.000785398           0 
         86          4            5  P1V8f                85  P1V           5.08     4.7625   -0.3175            8             9              0          1.27       43.18        368.3   -124.066  -1.29176  2174.11    0.00387463  -0.00101229    0.000785398           0 
         87          4            5  P1V9b                 0  P1V           5.08     4.7625   -0.3175            8             1              0         -1.27       43.18        368.3   -164.706  -1.32367  2178.47    0.00387463  -0.00101229    0.000785398           0 
         88          4            5  P1V9f                87  P1V           5.08     4.7625   -0.3175            8             1              0          1.27       43.18        368.3   -164.706  -1.32367  2174.07    0.00387463  -0.00101229    0.000785398           0 
         89          4            6  P2H1b                 0  P2H           5.08     4.7625   -0.3175            8            65         1.5708         -1.27       368.3        43.18  -0.444302   162.771  2394.43     0.0031765    0.0023911   -0.000890118           0 
         90          4            6  P2H1f                89  P2H           5.08     4.7625   -0.3175            8            65         1.5708          1.27       368.3        43.18  -0.444302   162.771  2390.03     0.0031765    0.0023911   -0.000890118           0 
         91          4            6  P2H2b                 0  P2H           5.08     4.7625   -0.3175            8            57         1.5708         -1.27       368.3        43.18  -0.480477   122.131   2394.3     0.0031765    0.0023911   -0.000890118           0 
         92          4            6  P2H2f                91  P2H           5.08     4.7625   -0.3175            8            57         1.5708          1.27       368.3        43.18  -0.480477   122.131   2389.9     0.0031765    0.0023911   -0.000890118           0 
         93          4            6  P2H3b                 0  P2H           5.08     4.7625   -0.3175            8            49         1.5708         -1.27       368.3        43.18  -0.516651    81.491  2394.17     0.0031765    0.0023911   -0.000890118           0 
         94          4            6  P2H3f                93  P2H           5.08     4.7625   -0.3175            8            49         1.5708          1.27       368.3        43.18  -0.516651    81.491  2389.77     0.0031765    0.0023911   -0.000890118           0 
         95          4            6  P2H4b                 0  P2H           5.08     4.7625   -0.3175            8            41         1.5708         -1.27       368.3        43.18  -0.552826    40.851  2394.04     0.0031765    0.0023911   -0.000890118           0 
         96          4            6  P2H4f                95  P2H           5.08     4.7625   -0.3175            8            41         1.5708          1.27       368.3        43.18  -0.552826    40.851  2389.64     0.0031765    0.0023911   -0.000890118           0 
         97          4            6  P2H5b                 0  P2H           5.08     4.7625   -0.3175            8            33         1.5708         -1.27       368.3        43.18     -0.589     0.211  2393.91     0.0031765    0.0023911   -0.000890118           0 
         98          4            6  P2H5f                97  P2H           5.08     4.7625   -0.3175            8            33         1.5708          1.27       368.3        43.18     -0.589     0.211  2389.51     0.0031765    0.0023911   -0.000890118           0 
         99          4            6  P2H6b                 0  P2H           5.08     4.7625   -0.3175            8            25         1.5708         -1.27       368.3        43.18  -0.625174   -40.429  2393.78     0.0031765    0.0023911   -0.000890118           0 
        100          4            6  P2H6f                99  P2H           5.08     4.7625   -0.3175            8            25         1.5708          1.27       368.3        43.18  -0.625174   -40.429  2389.38     0.0031765    0.0023911   -0.000890118           0 
        101          4            6  P2H7b                 0  P2H           5.08     4.7625   -0.3175            8            17         1.5708         -1.27       368.3        43.18  -0.661349   -81.069  2393.65     0.0031765    0.0023911   -0.000890118           0 
        102          4            6  P2H7f               101  P2H           5.08     4.7625   -0.3175            8            17         1.5708          1.27       368.3        43.18  -0.661349   -81.069  2389.25     0.0031765    0.0023911   -0.000890118           0 
        103          4            6  P2H8b                 0  P2H           5.08     4.7625   -0.3175            8             9         1.5708         -1.27       368.3        43.18  -0.697523  -121.709  2393.52     0.0031765    0.0023911   -0.000890118           0 
        104          4            6  P2H8f               103  P2H           5.08     4.7625   -0.3175            8             9         1.5708          1.27       368.3        43.18  -0.697523  -121.709  2389.12     0.0031765    0.0023911   -0.000890118           0 
        105          4            6  P2H9b                 0  P2H           5.08     4.7625   -0.3175            8             1         1.5708         -1.27       368.3        43.18  -0.733698  -162.349  2393.39     0.0031765    0.0023911   -0.000890118           0 
        106          4            6  P2H9f               105  P2H           5.08     4.7625   -0.3175            8             1         1.5708          1.27       368.3        43.18  -0.733698  -162.349  2388.99     0.0031765    0.0023911   -0.000890118           0 
        107          4            6  P2V1b                 0  P2V           5.08     4.7625   -0.3175            8            65              0         -1.27       43.18        368.3    159.606  -1.28567  2371.34  -0.000750492  0.000593412   -0.000785398           0 
        108          4            6  P2V1f               107  P2V           5.08     4.7625   -0.3175            8            65              0          1.27       43.18        368.3    159.606  -1.28567  2366.94  -0.000750492  0.000593412   -0.000785398           0 
        109          4            6  P2V2b                 0  P2V           5.08     4.7625   -0.3175            8            57              0         -1.27       43.18        368.3    118.966  -1.25376  2371.37  -0.000750492  0.000593412   -0.000785398           0 
        110          4            6  P2V2f               109  P2V           5.08     4.7625   -0.3175            8            57              0          1.27       43.18        368.3    118.966  -1.25376  2366.97  -0.000750492  0.000593412   -0.000785398           0 
        111          4            6  P2V3b                 0  P2V           5.08     4.7625   -0.3175            8            49              0         -1.27       43.18        368.3     78.326  -1.22184  2371.39  -0.000750492  0.000593412   -0.000785398           0 
        112          4            6  P2V3f               111  P2V           5.08     4.7625   -0.3175            8            49              0          1.27       43.18        368.3     78.326  -1.22184  2366.99  -0.000750492  0.000593412   -0.000785398           0 
        113          4            6  P2V4b                 0  P2V           5.08     4.7625   -0.3175            8            41              0         -1.27       43.18        368.3     37.686  -1.18992  2371.42  -0.000750492  0.000593412   -0.000785398           0 
        114          4            6  P2V4f               113  P2V           5.08     4.7625   -0.3175            8            41              0          1.27       43.18        368.3     37.686  -1.18992  2367.02  -0.000750492  0.000593412   -0.000785398           0 
        115          4            6  P2V5b                 0  P2V           5.08     4.7625   -0.3175            8            33              0         -1.27       43.18        368.3     -2.954    -1.158  2371.44  -0.000750492  0.000593412   -0.000785398           0 
        116          4            6  P2V5f               115  P2V           5.08     4.7625   -0.3175            8            33              0          1.27       43.18        368.3     -2.954    -1.158  2367.04  -0.000750492  0.000593412   -0.000785398           0 
        117          4            6  P2V6b                 0  P2V           5.08     4.7625   -0.3175            8            25              0         -1.27       43.18        368.3    -43.594  -1.12608  2371.46  -0.000750492  0.000593412   -0.000785398           0 
        118          4            6  P2V6f               117  P2V           5.08     4.7625   -0.3175            8            25              0          1.27       43.18        368.3    -43.594  -1.12608  2367.06  -0.000750492  0.000593412   -0.000785398           0 
        119          4            6  P2V7b                 0  P2V           5.08     4.7625   -0.3175            8            17              0         -1.27       43.18        368.3    -84.234  -1.09416  2371.49  -0.000750492  0.000593412   -0.000785398           0 
        120          4            6  P2V7f               119  P2V           5.08     4.7625   -0.3175            8            17              0          1.27       43.18        368.3    -84.234  -1.09416  2367.09  -0.000750492  0.000593412   -0.000785398           0 
        121          4            6  P2V8b                 0  P2V           5.08     4.7625   -0.3175            8             9              0         -1.27       43.18        368.3   -124.874  -1.06224  2371.51  -0.000750492  0.000593412   -0.000785398           0 
        122          4            6  P2V8f               121  P2V           5.08     4.7625   -0.3175            8             9              0          1.27       43.18        368.3   -124.874  -1.06224  2367.11  -0.000750492  0.000593412   -0.000785398           0 
        123          4            6  P2V9b                 0  P2V           5.08     4.7625   -0.3175            8             1              0         -1.27       43.18        368.3   -165.514  -1.03033  2371.54  -0.000750492  0.000593412   -0.000785398           0 
        124          4            6  P2V9f               123  P2V           5.08     4.7625   -0.3175            8             1              0          1.27       43.18        368.3   -165.514  -1.03033  2367.14  -0.000750492  0.000593412   -0.000785398           0 
